# Data based on previous assignments.
# Origins: 3 and 11.
# Destinations: 5,8,12,13,14,17,18,19,21,23.
# Demand has been multiplied by 5 to obtain a congested instance: 120 -> 600.

set nusos := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set centr := 3 11 5 8 12 13 14 17 18 19 21 23;
set origens := 3 11;
set destins := 5 8 12 13 14 17 18 19 21 23;

set odpair :=
(3,5) (3,8) (3,12) (3,13) (3,14) (3,17) (3,18) (3,19) (3,21) (3,23)
(11,5) (11,8) (11,12) (11,13) (11,14) (11,17) (11,18) (11,19) (11,21) (11,23);

param g default 0 :=
3 5 3900
3 8 3900
3 12 3900
3 13 3900
3 14 3900
3 17 3900
3 18 3900
3 19 3900
3 21 3900
3 23 3900
11 5 3900
11 8 3900
11 12 3900
11 13 3900
11 14 3900
11 17 3900
11 18 3900
11 19 3900
11 21 3900
11 23 3900;

set links :=
(1,2) (2,1) (1,4) (4,1) (2,3) (3,2)
(5,4) (4,9) (9,4) (5,10) (5,6) (6,5)
(6,3) (3,7) (7,3) (6,14) (14,6)
(7,14) (14,7) (7,19) (19,7) (8,9)
(9,8) (8,11) (11,8) (9,12) (12,9)
(9,10) (10,9) (10,13) (13,10) (11,22)
(22,11) (11,12) (12,11) (12,15) (15,12)
(12,13) (13,12) (13,14) (13,15) (13,17)
(17,13) (14,18) (18,14) (15,16) (16,22)
(22,16) (16,17) (17,16) (16,18) (17,18)
(18,17) (17,20) (20,17) (18,21) (20,22)
(22,20) (20,23) (23,20) (20,21) (21,20)
(21,24) (24,21) (24,19) (19,24) (22,23)
(23,22) (23,24) (24,23) (4,5) (10,5) (3,6)
(14,13) (15,13) (16,15) (21,18);

param xc :=
1 2
2 3
3 4
4 2
5 3
6 4
7 5
8 1
9 2
10 3
11 1
12 2
13 3
14 4
15 2.5
16 2
17 3
18 4
19 5
20 3
21 4
22 1
23 3
24 4;

param yc :=
1 1
2 1
3 1
4 2
5 2
6 2
7 2
8 3
9 3
10 3
11 4
12 4
13 4
14 4
15 5
16 6
17 6
18 6
19 6
20 7
21 7
22 8
23 8
24 8;

# Link delay slope d_ij. Chosen in [0.001,0.01].
param dcoef := 0.008;
